                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0656,                 4.0721,                  4.032,                0.00315,                0.10374,                 0.0065,                0.00333,                 4.2101,                 4.4688,                 4.1306,             0.00033122,             0.00033122,             0.00033122
                      2,                 3.7313,                 3.9741,                 3.7535,                0.83837,                0.01299,                 0.0037,                0.00123,                 3.7031,                 9.7381,                 3.8591,             0.00066349,             0.00066349,             0.00066349
                      3,                 3.5364,                  3.874,                 3.6011,                0.17215,                0.19027,                0.00958,                0.00251,                  3.628,                 4.6328,                 3.6708,              0.0009947,              0.0009947,              0.0009947
                      4,                 3.2913,                 3.5425,                 3.3882,                0.01015,                0.40285,                0.04592,                0.01492,                 3.9014,                 3.8985,                  3.806,              0.0009952,              0.0009952,              0.0009952
                      5,                 3.2029,                 3.4711,                 3.2677,                0.00485,                0.43851,                0.01223,                 0.0036,                 3.5604,                 3.9491,                 3.5481,              0.0009936,              0.0009936,              0.0009936
                      6,                 3.1689,                 3.4846,                 3.1729,                0.00691,                0.57371,                0.03241,                0.00973,                 3.3931,                 3.5093,                 3.4322,               0.000992,               0.000992,               0.000992
                      7,                 3.0175,                 3.3167,                 3.0534,                0.00584,                0.61322,                0.02665,                0.00727,                 3.3809,                  7.804,                 3.4315,              0.0009904,              0.0009904,              0.0009904
                      8,                   3.04,                 3.3137,                 3.0548,                0.00753,                0.54941,                0.01744,                0.00617,                 3.3707,                 3.5088,                 3.3668,              0.0009888,              0.0009888,              0.0009888
                      9,                 2.9945,                 3.2875,                 2.9807,                0.05138,                0.14663,                0.03258,                0.00824,                 3.2831,                 3.4832,                 3.3694,              0.0009872,              0.0009872,              0.0009872
                     10,                 3.0008,                  3.254,                 2.9861,                0.00632,                0.60961,                0.03157,                0.01036,                 3.2337,                  3.227,                 3.2443,              0.0009856,              0.0009856,              0.0009856
                     11,                 2.9558,                 3.2509,                 2.9517,                0.02104,                0.27987,                0.02097,                0.00608,                 3.2561,                 3.4358,                 3.3605,               0.000984,               0.000984,               0.000984
